$$SOE
2460007.500000000, A.D. 2023-Mar-04 00:00:00.0000, 3.850288233012680E+08, 5.295376670370397E+07, -2.195460647822198E+07,
2460014.500000000, A.D. 2023-Mar-11 00:00:00.0000, 3.821456268160117E+08, 6.432987527431890E+07, -2.172281024850541E+07,
2460021.500000000, A.D. 2023-Mar-18 00:00:00.0000, 3.789454204747658E+08, 7.565269139343828E+07, -2.147297348517882E+07,
2460028.500000000, A.D. 2023-Mar-25 00:00:00.0000, 3.754281490475363E+08, 8.691226951591825E+07, -2.120514996011087E+07,
2460035.500000000, A.D. 2023-Apr-01 00:00:00.0000, 3.715941189521196E+08, 9.809856537092455E+07, -2.091941507891908E+07,
2460042.500000000, A.D. 2023-Apr-08 00:00:00.0000, 3.674440092541070E+08, 1.092014527932515E+08, -2.061586635298985E+07,
2460049.500000000, A.D. 2023-Apr-15 00:00:00.0000, 3.629788796337177E+08, 1.202107418120292E+08, -2.029462358402237E+07,
2460056.500000000, A.D. 2023-Apr-22 00:00:00.0000, 3.582001770486851E+08, 1.311161949106838E+08, -1.995582917191516E+07,
2460063.500000000, A.D. 2023-Apr-29 00:00:00.0000, 3.531097437425985E+08, 1.419075436649949E+08, -1.959964860828610E+07,
2460070.500000000, A.D. 2023-May-06 00:00:00.0000, 3.477098247525060E+08, 1.525745074883818E+08, -1.922627084392692E+07,
2460077.500000000, A.D. 2023-May-13 00:00:00.0000, 3.420030738583413E+08, 1.631068135309167E+08, -1.883590850931188E+07,
2460084.500000000, A.D. 2023-May-20 00:00:00.0000, 3.359925581320017E+08, 1.734942171716283E+08, -1.842879804592859E+07,
2460091.500000000, A.D. 2023-May-27 00:00:00.0000, 3.296817612075490E+08, 1.837265229964248E+08, -1.800519976514307E+07,
2460098.500000000, A.D. 2023-Jun-03 00:00:00.0000, 3.230745852634423E+08, 1.937936062011152E+08, -1.756539783472379E+07,
2460105.500000000, A.D. 2023-Jun-10 00:00:00.0000, 3.161753516803892E+08, 2.036854343116517E+08, -1.710970019373622E+07,
2460112.500000000, A.D. 2023-Jun-17 00:00:00.0000, 3.089888004114723E+08, 2.133920890605910E+08, -1.663843840677974E+07,
2460119.500000000, A.D. 2023-Jun-24 00:00:00.0000, 3.015200883416229E+08, 2.229037883681151E+08, -1.615196748090808E+07,
2460126.500000000, A.D. 2023-Jul-01 00:00:00.0000, 2.937747868557383E+08, 2.322109091404948E+08, -1.565066560000971E+07,
2460133.500000000, A.D. 2023-Jul-08 00:00:00.0000, 2.857588769124219E+08, 2.413040115866413E+08, -1.513493355517016E+07,
2460140.500000000, A.D. 2023-Jul-15 00:00:00.0000, 2.774787403296853E+08, 2.501738621052305E+08, -1.460519398461992E+07,
2460147.500000000, A.D. 2023-Jul-22 00:00:00.0000, 2.689411508072528E+08, 2.588114535877956E+08, -1.406189083201554E+07,
2460154.500000000, A.D. 2023-Jul-29 00:00:00.0000, 2.601532651826696E+08, 2.672080261544011E+08, -1.350548881248233E+07,
2460161.500000000, A.D. 2023-Aug-05 00:00:00.0000, 2.511226129824803E+08, 2.753550883896633E+08, -1.293647269282442E+07,
2460168.500000000, A.D. 2023-Aug-12 00:00:00.0000, 2.418570840726217E+08, 2.832444380544736E+08, -1.235534644119087E+07,
2460175.500000000, A.D. 2023-Aug-19 00:00:00.0000, 2.323649147278589E+08, 2.908681819314083E+08, -1.176263229281369E+07,
2460182.500000000, A.D. 2023-Aug-26 00:00:00.0000, 2.226546722966380E+08, 2.982187547019190E+08, -1.115886974554241E+07,
2460189.500000000, A.D. 2023-Sep-02 00:00:00.0000, 2.127352385609545E+08, 3.052889367516797E+08, -1.054461449199669E+07,
2460196.500000000, A.D. 2023-Sep-09 00:00:00.0000, 2.026157919069529E+08, 3.120718707584893E+08, -9.920437300196588E+06,
2460203.500000000, A.D. 2023-Sep-16 00:00:00.0000, 1.923057885639566E+08, 3.185610769088709E+08, -9.286922868502408E+06,
2460210.500000000, A.D. 2023-Sep-23 00:00:00.0000, 1.818149434279690E+08, 3.247504669445407E+08, -8.644668675863028E+06,
2460217.500000000, A.D. 2023-Sep-30 00:00:00.0000, 1.711532102402581E+08, 3.306343581523306E+08, -7.994283705878153E+06,
2460224.500000000, A.D. 2023-Oct-07 00:00:00.0000, 1.603307588815235E+08, 3.362074866821510E+08, -7.336386879972532E+06,
2460231.500000000, A.D. 2023-Oct-14 00:00:00.0000, 1.493579509379351E+08, 3.414650168232647E+08, -6.671605572228089E+06,
2460238.500000000, A.D. 2023-Oct-21 00:00:00.0000, 1.382453168965443E+08, 3.464025478008971E+08, -6.000574378754541E+06,
2460245.500000000, A.D. 2023-Oct-28 00:00:00.0000, 1.270035336757674E+08, 3.510161203147399E+08, -5.323933833987609E+06,
2460252.500000000, A.D. 2023-Nov-04 00:00:00.0000, 1.156434013653150E+08, 3.553022220227309E+08, -4.642329029107988E+06,
2460259.500000000, A.D. 2023-Nov-11 00:00:00.0000, 1.041758194775017E+08, 3.592577913634472E+08, -3.956408204689741E+06,
2460266.500000000, A.D. 2023-Nov-18 00:00:00.0000, 9.261176305643110E+07, 3.628802196634272E+08, -3.266821349921405E+06,
2460273.500000000, A.D. 2023-Nov-25 00:00:00.0000, 8.096225884694804E+07, 3.661673515753599E+08, -2.574218820280328E+06,
2460280.500000000, A.D. 2023-Dec-02 00:00:00.0000, 6.923836167938885E+07, 3.691174838678283E+08, -1.879249984089732E+06,
